,MS_SubClass,Lot_Frontage,Lot_Area,Overall_Qual,Overall_Cond,Year_Built,Year_Remod/Add,BsmtFin_SF_1,Total_Bsmt_SF,Gr_Liv_Area,Bsmt_Full_Bath,Bedroom_AbvGr,TotRms_AbvGrd,Fireplaces,Garage_Area,Enclosed_Porch
0,60,0.0,13517,6,8,1976,2005,533.0,725.0,1479,0.0,3,6,0,475.0,0
1,60,43.0,11492,7,5,1996,1997,637.0,913.0,2122,1.0,4,8,1,559.0,0
2,20,68.0,7922,5,7,1953,2007,731.0,1057.0,1057,1.0,3,5,0,246.0,0
3,60,73.0,9802,5,5,2006,2007,0.0,384.0,1444,0.0,3,7,0,400.0,0
4,50,82.0,14235,6,8,1900,1993,0.0,676.0,1445,0.0,3,6,0,484.0,0
5,20,137.0,16492,6,6,1966,2002,247.0,1517.0,1888,0.0,2,6,1,578.0,0
6,180,35.0,3675,6,5,2005,2006,547.0,547.0,1072,1.0,2,5,0,525.0,0
7,20,0.0,12160,5,5,1959,1959,1000.0,1188.0,1188,1.0,3,6,0,531.0,0
8,20,0.0,15783,5,5,1952,1952,292.0,924.0,924,0.0,2,6,0,420.0,0
9,60,70.0,11606,5,5,1969,1969,650.0,1040.0,2080,0.0,5,9,2,504.0,0
10,160,21.0,1680,6,5,1971,1971,387.0,483.0,987,0.0,2,4,0,264.0,0
11,20,64.0,7488,7,5,2005,2005,393.0,1208.0,1208,0.0,2,6,0,632.0,0
12,70,120.0,26400,5,7,1880,2007,0.0,0.0,2016,0.0,4,7,1,576.0,0
13,160,24.0,2645,8,5,1999,2000,813.0,960.0,1607,1.0,3,7,0,480.0,0
14,20,74.0,9627,7,5,2007,2007,24.0,1351.0,1361,0.0,3,6,0,610.0,0
15,20,93.0,10114,5,5,2004,2005,0.0,1430.0,1430,0.0,3,7,0,624.0,0
16,70,34.0,4571,5,5,1916,1950,0.0,624.0,1344,0.0,4,7,0,513.0,96
17,20,80.0,8816,5,6,1963,1963,651.0,1121.0,1121,1.0,3,5,0,480.0,0
18,20,71.0,8197,6,5,1977,1977,0.0,660.0,1285,0.0,3,7,1,528.0,0
19,60,72.0,8640,7,5,2009,2009,24.0,756.0,1547,0.0,3,7,0,614.0,0
20,20,109.0,8724,5,5,1968,1968,492.0,894.0,894,0.0,3,5,1,450.0,0
21,120,40.0,5664,8,5,2000,2000,1158.0,1501.0,1659,1.0,2,5,1,499.0,0
22,60,103.0,12867,8,5,2005,2006,0.0,1209.0,2253,0.0,3,8,1,575.0,0
23,20,0.0,7980,6,7,1992,2007,935.0,1168.0,1187,1.0,3,6,0,420.0,0
