,MS_SubClass,Lot_Frontage,Lot_Area,Overall_Qual,Overall_Cond,BsmtFin_SF_1,Total_Bsmt_SF,Bsmt_Full_Bath,Bedroom_AbvGr,TotRms_AbvGrd,Fireplaces,Garage_Area,PID,Mas_Vnr_Area,1st_Flr_SF,2nd_Flr_SF,Full_Bath,Half_Bath,Kitchen_AbvGr,Wood_Deck_SF,Screen_Porch,Bsmt_Qual_missing,BrkSide,Edwards,IDOTRR,NAmes,NoRidge,NridgHt,OldTown,Somerst,StoneBr,2fmCon,New
0,60,0.0,13517,6,8,533.0,725.0,0.0,3,6,0,475.0,533352170,289.0,725,754,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,60,43.0,11492,7,5,637.0,913.0,1.0,4,8,1,559.0,531379050,132.0,913,1209,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,20,68.0,7922,5,7,731.0,1057.0,1.0,3,5,0,246.0,535304180,0.0,1057,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3,60,73.0,9802,5,5,0.0,384.0,0.0,3,7,0,400.0,916386060,0.0,744,700,2,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0
4,50,82.0,14235,6,8,0.0,676.0,0.0,3,6,0,484.0,906425045,0.0,831,614,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,20,137.0,16492,6,6,247.0,1517.0,0.0,2,6,1,578.0,535126040,0.0,1888,0,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
6,180,35.0,3675,6,5,547.0,547.0,1.0,2,5,0,525.0,908186070,82.0,1072,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
7,20,0.0,12160,5,5,1000.0,1188.0,1.0,3,6,0,531.0,535154050,180.0,1188,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
8,20,0.0,15783,5,5,292.0,924.0,0.0,2,6,0,420.0,535353130,0.0,924,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
9,60,70.0,11606,5,5,650.0,1040.0,0.0,5,9,2,504.0,535426130,192.0,1040,1040,1,2,1,335,0,0,0,0,0,1,0,0,0,0,0,0,0
10,160,21.0,1680,6,5,387.0,483.0,0.0,2,4,0,264.0,527451290,232.0,483,504,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,20,64.0,7488,7,5,393.0,1208.0,0.0,2,6,0,632.0,906380150,0.0,1208,0,2,0,1,105,0,0,0,0,0,0,0,0,0,0,0,0,0
12,70,120.0,26400,5,7,0.0,0.0,0.0,4,7,1,576.0,906226060,0.0,1288,728,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
